Year,Ceremony,Award,Winner,Name,Film
1934,7,Actor,1,Clark Gable,It Happened One Night
1934,7,Actor,0,Frank Morgan,The Affairs of Cellini
1934,7,Actor,0,William Powell,The Thin Man
1934,7,Actress,1,Claudette Colbert,It Happened One Night
1934,7,Actress,0,Bette Davis,Of Human Bondage
1934,7,Actress,0,Grace Moore,One Night of Love
1934,7,Actress,0,Norma Shearer,The Barretts of Wimpole Street
1934,7,Art Direction,0,The Affairs of Cellini ,Richard Day [Third]
1934,7,Art Direction,0,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [Second]"
1934,7,Art Direction,1,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
1934,7,Assistant Director,0,Cleopatra ,Cullen Tate [Second]
1934,7,Assistant Director,0,Imitation of Life ,Scott Beal [Third]
1934,7,Assistant Director,1,Viva Villa! ,John Waters
1934,7,Cinematography,0,The Affairs of Cellini ,Charles Rosher [Third]
1934,7,Cinematography,1,Cleopatra ,Victor Milner
1934,7,Cinematography,0,Operator 13 ,George Folsey [Second]
1934,7,Directing,1,It Happened One Night ,Frank Capra
1934,7,Directing,0,One Night of Love ,Victor Schertzinger [Third]
1934,7,Directing,0,The Thin Man ,W. S. Van Dyke [Second]
1934,7,Film Editing,0,Cleopatra ,Anne Bauchens [Third]
1934,7,Film Editing,1,Eskimo ,Conrad Nervig
1934,7,Film Editing,0,One Night of Love ,Gene Milford [Second]
1934,7,Music (Scoring),0,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]"
1934,7,Music (Scoring),0,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]"
1934,7,Music (Scoring),1,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934,7,Music (Song),0,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
1934,7,Music (Song),1,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
1934,7,Music (Song),0,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [Second]
1934,7,Outstanding Production,0,The Barretts of Wimpole Street ,Metro-Goldwyn-Mayer [Second]
1934,7,Outstanding Production,0,Cleopatra ,Paramount
1934,7,Outstanding Production,0,Flirtation Walk ,First National
1934,7,Outstanding Production,0,The Gay Divorcee ,RKO Radio
1934,7,Outstanding Production,0,Here Comes the Navy ,Warner Brothers
1934,7,Outstanding Production,0,The House of Rothschild ,20th Century [Third]
1934,7,Outstanding Production,0,Imitation of Life ,Universal
1934,7,Outstanding Production,1,It Happened One Night ,Columbia
1934,7,Outstanding Production,0,One Night of Love ,Columbia
1934,7,Outstanding Production,0,The Thin Man ,Metro-Goldwyn-Mayer
1934,7,Outstanding Production,0,Viva Villa! ,Metro-Goldwyn-Mayer
1934,7,Outstanding Production,0,The White Parade ,Jesse L. Lasky (production company)
1934,7,Short Subject (Cartoon),0,Holiday Land ,"Charles Mintz, Producer [Third]"
1934,7,Short Subject (Cartoon),0,Jolly Little Elves ,"Walter Lantz, Producer [Second]"
1934,7,Short Subject (Cartoon),1,The Tortoise and the Hare ,"Walt Disney, Producer"
1934,7,Short Subject (Comedy),1,La Cucaracha ,"Kenneth Macgowan, Producer"
1934,7,Short Subject (Comedy),0,Men in Black ,"Jules White, Producer [Third]"
1934,7,Short Subject (Comedy),0,"What, No Men! ",Warner Brothers [Second]
1934,7,Short Subject (Novelty),0,Bosom Friends ,Skibo Productions [Third]
1934,7,Short Subject (Novelty),1,City of Wax ,"Stacy Woodard and Horace Woodard, Producers"
1934,7,Short Subject (Novelty),0,Strikes and Spares ,"Pete Smith, Producer [Second]"
1934,7,Sound Recording,0,The Affairs of Cellini ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1934,7,Sound Recording,0,Cleopatra ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1934,7,Sound Recording,0,Flirtation Walk ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1934,7,Sound Recording,0,The Gay Divorcee ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]"
1934,7,Sound Recording,0,Imitation of Life ,"Universal Studio Sound Department, Theodore Soderberg, Sound Director"
1934,7,Sound Recording,1,One Night of Love ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1934,7,Sound Recording,0,Viva Villa! ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1934,7,Sound Recording,0,The White Parade ,"Fox Studio Sound Department, E. H. Hansen, Sound Director"
1934,7,Writing (Adaptation),1,It Happened One Night ,Robert Riskin
1934,7,Writing (Adaptation),0,The Thin Man ,"Frances Goodrich, Albert Hackett [Second]"
1934,7,Writing (Adaptation),0,Viva Villa! ,Ben Hecht [Third]
1934,7,Writing (Original Story),0,Hide-Out ,Mauri Grashin [Third]
1934,7,Writing (Original Story),1,Manhattan Melodrama ,Arthur Caesar
1934,7,Writing (Original Story),0,The Richest Girl in the World ,Norman Krasna [Second]
1934,7,Special Award,1,Shirley Temple,
1935,8,Actor,0,Clark Gable,Mutiny on the Bounty
