Title,Best Picture,Prod Company,Year,imdbRating,Country_x,Country_y,Popularity,Rated,Release Date,Revenue,Budget,Runtime,Genre,Best Actor,Best Actress,Best Director,Best Supporting Actor,Best Supporting Actress
Double Indemnity,0,Paramount,1944,8.3,USA,USA,11.825,APPROVED,04,2500000.0,927262.0,108.0,Crime,0.0,0.0,0.0,0.0,0.0
Double Indemnity,0,Paramount,1944,8.3,USA,USA,11.825,APPROVED,04,2500000.0,927262.0,108.0,Drama,0.0,0.0,0.0,0.0,0.0
Double Indemnity,0,Paramount,1944,8.3,USA,USA,11.825,APPROVED,04,2500000.0,927262.0,108.0,Film-Noir,0.0,0.0,0.0,0.0,0.0
Double Indemnity,0,Paramount,1944,8.3,USA,USA,11.825,APPROVED,04,2500000.0,927262.0,108.0,Mystery,0.0,0.0,0.0,0.0,0.0
Double Indemnity,0,Paramount,1944,8.3,USA,USA,11.825,APPROVED,04,2500000.0,927262.0,108.0,Thriller,0.0,0.0,0.0,0.0,0.0
Gaslight,0,Metro-Goldwyn-Mayer,1944,7.8,USA,USA,7.707999999999999,UNRATED,05,0.0,2068000.0,114.0,Crime,0.0,1.0,0.0,0.0,0.0
Gaslight,0,Metro-Goldwyn-Mayer,1944,7.8,USA,USA,7.707999999999999,UNRATED,05,0.0,2068000.0,114.0,Drama,0.0,1.0,0.0,0.0,0.0
Gaslight,0,Metro-Goldwyn-Mayer,1944,7.8,USA,USA,7.707999999999999,UNRATED,05,0.0,2068000.0,114.0,Mystery,0.0,1.0,0.0,0.0,0.0
Gaslight,0,Metro-Goldwyn-Mayer,1944,7.8,USA,USA,7.707999999999999,UNRATED,05,0.0,2068000.0,114.0,Thriller,0.0,1.0,0.0,0.0,0.0
Going My Way,1,Paramount,1944,7.2,USA,USA,3.571,Passed,05,16300000.0,0.0,126.0,Comedy,1.0,0.0,1.0,1.0,0.0
Going My Way,1,Paramount,1944,7.2,USA,USA,3.571,Passed,05,16300000.0,0.0,126.0,Drama,1.0,0.0,1.0,1.0,0.0
Going My Way,1,Paramount,1944,7.2,USA,USA,3.571,Passed,05,16300000.0,0.0,126.0,Music,1.0,0.0,1.0,1.0,0.0
Going My Way,1,Paramount,1944,7.2,USA,USA,3.571,Passed,05,16300000.0,0.0,126.0,Musical,1.0,0.0,1.0,1.0,0.0
Since You Went Away,0,Selznick International Pictures,1944,7.6,USA,USA,1.2830000000000001,Approved,07,0.0,0.0,172.0,Drama,0.0,0.0,0.0,0.0,0.0
Since You Went Away,0,Selznick International Pictures,1944,7.6,USA,USA,1.2830000000000001,Approved,07,0.0,0.0,172.0,Romance,0.0,0.0,0.0,0.0,0.0
Since You Went Away,0,Selznick International Pictures,1944,7.6,USA,USA,1.2830000000000001,Approved,07,0.0,0.0,172.0,War,0.0,0.0,0.0,0.0,0.0
Wilson,0,20th Century-Fox,1944,5.8,USA,USA,1.4,R,08,2000000.0,2995000.0,154.0,Comedy,0.0,0.0,0.0,0.0,0.0
