Title,Budget,Popularity,Release Date,Revenue,Runtime,Vote_average,Vote_count
Double Indemnity,927262,11.825,1944-04-24,2500000,108,8.2,689
Gaslight,2068000,7.708,1944-05-04,0,114,7.4,126
Going My Way,0,3.571,1944-05-15,16300000,126,7.0,53
Since You Went Away,0,1.283,1944-07-20,0,172,6.3,10
Wilson,2995000,1.4,1944-08-01,2000000,154,5.5,6
Anchors Aweigh,0,3.669,1945-07-14,0,143,7.0,68
The Bells of St. Mary's,0,4.024,1945-12-27,21300000,126,7.3,55
The Lost Weekend,1250000,5.308,1945-11-29,11000000,101,7.6,192
Mildred Pierce,1453000,5.824,1945-10-20,5638000,111,7.7,137
Spellbound,1500000,5.483,1945-12-28,7000000,111,7.5,304
The Best Years of Our Lives,2100000,7.098,1946-12-25,23650000,172,7.7,222
Henry V,0,2.257,1944-11-24,0,137,6.8,40
It's a Wonderful Life,3180000,22.591,1946-12-20,9644124,130,8.2,1878
The Razor's Edge,0,1.799,1946-11-19,0,145,6.8,33
The Yearling,0,2.547,1946-12-18,0,128,6.6,39
The Bishop's Wife,0,4.7,1947-10-22,0,109,7.3,73
Crossfire,250000,2.589,1947-08-15,1300000,86,6.6,38
Gentleman's Agreement,2000000,5.004,1947-11-11,7800000,118,7.3,74
Great Expectations,0,7.932,1946-12-26,0,118,7.2,112
Miracle on 34th Street,0,8.73,1947-10-01,0,96,7.4,273
Hamlet,750000,6.077,1948-03-25,0,155,7.6,78
Johnny Belinda,0,2.232,1948-09-14,0,102,6.9,29
The Red Shoes,500000,9.301,1948-07-20,0,133,8.2,207
The Snake Pit,0,1.68,1948-11-04,0,108,7.3,35
The Treasure of the Sierra Madre,3800000,11.451,1948-01-24,4307000,126,8.1,452
All the King's Men,0,4.704,1949-11-08,0,109,7.1,68
Battleground,0,3.261,1949-11-09,0,118,6.9,37
The Heiress,2600000,4.772,1949-10-06,0,115,7.7,65
A Letter to Three Wives,0,3.36,1949-01-20,0,103,7.2,43
Twelve O'Clock High,0,4.923,1949-12-21,3225000,132,7.1,51
All About Eve,1400000,8.657,1950-11-09,63463,139,8.2,628
Born Yesterday,0,3.314,1950-12-25,0,103,7.0,50
Father of the Bride,0,6.224,1950-06-16,0,92,7.0,68
King Solomon's Mines,0,2.512,1950-11-09,0,103,6.3,34
Sunset Boulevard,1752000,12.561,1950-08-10,5000000,110,8.4,950
An American in Paris,2723903,5.939,1951-08-08,4500000,113,7.0,220
Decision Before Dawn,0,2.846,1951-12-21,0,119,6.9,16
A Place in the Sun,0,5.77,1951-06-12,0,122,7.4,141
Quo Vadis,8250000,8.056,1951-11-08,30000000,171,7.1,135
A Streetcar Named Desire,1800000,6.506,1951-09-18,8000000,125,7.8,522
The Greatest Show on Earth,4000000,7.01,1952-01-10,36000000,152,6.4,80
High Noon,730000,9.507,1952-03-27,8000000,85,7.7,568
Ivanhoe,0,4.193,1952-01-01,0,106,7.0,68
Moulin Rouge,1500000,3.406,1952-12-23,0,119,6.7,30
The Quiet Man,0,6.316,1952-07-21,0,129,7.4,183
From Here to Eternity,1650000,8.166,1953-08-28,30500000,118,7.4,229
Julius Caesar,0,4.595,1953-06-04,0,120,7.2,61
The Robe,4100000,5.359,1953-09-16,36000000,135,6.5,82
Roman Holiday,1500000,10.101,1953-08-26,12000000,119,7.9,852
Shane,3100000,8.416,1953-04-23,20000000,118,7.4,239
The Caine Mutiny,2000000,7.063,1954-06-23,21750000,124,7.3,121
The Country Girl,0,2.887,1954-05-17,0,104,7.6,22
On the Waterfront,910000,12.564,1954-06-22,9600000,108,8.1,625
Seven Brides for Seven Brothers,0,6.02,1954-07-22,5000000,102,7.4,230
Three Coins in the Fountain,0,2.286,1954-05-01,0,102,6.2,18
Love Is a Many-Splendored Thing,0,2.283,1955-08-18,0,102,6.4,31
Marty,343000,5.717,1955-04-11,3000000,90,7.6,118
Mister Roberts,0,4.69,1955-07-13,0,123,7.2,55
Picnic,0,3.903,1955-11-18,0,115,6.9,33
The Rose Tattoo,0,1.892,1955-12-12,0,117,7.6,22
Around the World in Eighty Days,6000000,8.869,1956-10-17,42000000,175,6.5,168
Friendly Persuasion,0,3.115,1956-11-25,0,137,6.5,35
Giant,5400000,6.087,1956-10-10,35000000,201,7.6,286
The King and I,4550000,6.323,1956-06-29,21300000,133,7.3,166
The Ten Commandments,13000000,10.233,1956-10-05,122700000,220,7.6,538
The Bridge on the River Kwai,3000000,10.09,1957-10-02,27200000,161,7.9,851
Peyton Place,0,2.859,1957-12-13,0,151,7.1,25
Sayonara,0,3.913,1957-12-05,0,147,6.8,41
12 Angry Men,350000,20.7,1957-03-25,1000000,97,8.4,3454
Witness for the Prosecution,3000000,8.728,1957-12-17,9000000,116,8.3,474
Auntie Mame,0,3.738,1958-12-27,0,143,7.2,41
Cat on a Hot Tin Roof,3000000,6.629,1958-02-17,17570324,108,7.8,294
The Defiant Ones,0,3.978,1958-08-14,0,96,7.0,77
Gigi,3319355,5.829,1958-04-15,0,116,6.4,112
Separate Tables,0,3.763,1958-12-18,0,100,7.1,40
Anatomy of a Murder,0,8.722,1959-07-01,0,160,7.9,332
Ben-Hur,15000000,9.564,1959-12-26,146900000,212,7.7,1101
The Diary of Anne Frank,3000000,5.533,1959-03-18,0,180,7.2,128
The Nun's Story,3500000,4.857,1959-06-18,12800000,149,7.4,68
Room at the Top,0,4.29,1959-01-22,0,115,6.9,26
The Alamo,12000000,4.624,1960-10-23,7900000,167,6.9,123
The Apartment,3000000,12.387,1960-06-15,25000000,125,8.2,834
Elmer Gantry,3000000,3.555,1960-06-19,10400000,146,7.5,50
Sons and Lovers,0,1.405,1960-08-29,0,103,6.7,8
The Sundowners,0,1.907,1960-12-08,0,133,6.5,19
Fanny,0,1.146,1961-06-28,0,134,6.5,12
The Guns of Navarone,6000000,7.483,1961-04-27,28900000,158,7.5,287
The Hustler,2000000,7.674,1961-09-25,7600000,134,7.8,392
Judgment at Nuremberg,3000000,7.412,1961-12-01,10000000,186,8.0,270
West Side Story,6000000,9.946,1961-10-18,43656822,152,7.3,747
Lawrence of Arabia,15000000,10.512,1962-12-10,69995385,217,8.0,1335
The Longest Day,10000000,9.766,1962-09-25,50100000,178,7.5,384
Mutiny on the Bounty,19000000,7.416,1962-11-08,13680000,178,6.9,108
To Kill a Mockingbird,2000000,10.34,1962-12-25,13129846,129,8.1,1212
America America,0,1.898,1963-12-15,0,174,6.4,27
Cleopatra,31115000,7.264,1963-06-12,71000000,248,6.9,247
How the West Was Won,15000000,9.872,1962-11-01,50000000,162,7.0,138
Lilies of the Field,0,2.838,1963-06-04,0,94,7.2,39
Tom Jones,1000000,6.927,1963-08-24,37600000,128,6.5,58
Becket,0,5.413,1964-03-11,0,148,7.4,71
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,17.756,1964-01-29,9440272,95,8.1,2540
Mary Poppins,6000000,14.587,1964-08-27,102272727,139,7.6,2382
My Fair Lady,17000000,10.138,1964-10-21,72070731,170,7.7,571
Zorba the Greek,783000,6.861,1964-12-14,0,142,7.4,115
Darling,0,3.011,1965-08-03,0,128,6.8,43
Doctor Zhivago,11000000,9.474,1965-12-22,111858363,200,7.6,435
Ship of Fools,0,2.17,1965-07-29,0,149,6.3,26
The Sound of Music,8200000,10.883,1965-03-02,286214286,175,7.6,1541
A Thousand Clowns,0,1.191,1965-12-13,0,118,7.4,11
Alfie,0,5.817,1966-03-29,0,114,6.7,92
A Man for All Seasons,3900000,5.846,1966-12-12,28350000,120,7.6,150
"The Russians Are Coming, The Russians Are Coming",0,3.012,1966-05-25,0,126,6.4,39
The Sand Pebbles,12000000,4.957,1966-12-20,20000000,182,7.3,99
Who's Afraid of Virginia Woolf?,7500000,6.719,1966-06-21,33736689,131,8.0,317
Bonnie and Clyde,2500000,7.577,1967-07-18,50700000,111,7.6,619
Doctor Dolittle,18000000,6.079,1967-11-23,9000000,152,6.1,69
The Graduate,3000000,9.486,1967-12-21,104945305,106,7.7,1413
Guess Who's Coming to Dinner,4000000,7.678,1967-12-11,56666667,108,7.7,292
In the Heat of the Night,2000000,7.413,1967-08-02,27379978,109,7.8,358
Funny Girl,14000000,5.435,1968-09-19,52223306,149,7.2,142
The Lion in Winter,0,6.389,1968-01-01,0,134,7.6,126
Oliver!,10000000,7.372,1968-09-26,37402877,153,7.1,164
"Rachel, Rachel",0,2.136,1968-01-01,0,101,6.6,21
Romeo and Juliet,0,8.862,1968-04-02,38901218,138,7.4,262
Anne of the Thousand Days,0,4.106,1969-12-18,0,145,7.0,46
Butch Cassidy and the Sundance Kid,6000000,11.299,1969-09-23,102308889,111,7.6,971
"Hello, Dolly!",24000000,5.984,1969-12-12,33208099,146,7.0,95
Midnight Cowboy,3600000,9.52,1969-05-25,44785053,113,7.6,492
Z,0,7.164,1969-02-26,83305,127,8.1,153
Airport,10000000,7.29,1970-03-05,100489151,137,6.4,140
Five Easy Pieces,0,4.92,1970-09-12,0,98,7.3,184
Love Story,2200000,5.857,1970-12-16,136400000,99,6.6,227
M*A*S*H,3500000,8.176,1970-01-24,81600000,116,7.1,383
Patton,12000000,9.083,1970-01-25,89800000,172,7.4,487
A Clockwork Orange,2200000,19.866,1971-12-18,26589000,136,8.2,6119
Fiddler on the Roof,9000000,7.021,1971-11-03,83304330,181,7.8,198
The French Connection,1800000,8.619,1971-10-09,41158757,104,7.5,698
The Last Picture Show,1300000,8.24,1971-10-02,29133000,119,7.8,225
Nicholas and Alexandra,0,2.057,1971-11-29,0,189,7.4,24
Cabaret,6000000,6.441,1972-02-13,0,124,7.5,364
Deliverance,2000000,6.816,1972-07-30,46122355,109,7.4,681
The Emigrants,0,4.035,1971-03-08,0,191,7.2,38
The Godfather,6000000,26.24,1972-03-14,245066411,175,8.6,9363
Sounder,0,1.33,1972-09-24,0,105,7.3,13
American Graffiti,777000,8.756,1973-08-01,140000000,110,7.1,578
The Exorcist,8000000,13.711,1973-12-26,441306145,122,7.6,3575
The Sting,5500000,9.085,1973-12-25,159616327,129,8.1,1046
A Touch of Class,0,1.159,1973-01-01,0,106,6.5,20
Chinatown,6000000,11.383,1974-06-20,30000000,130,7.9,1601
The Conversation,1600000,8.811,1974-04-07,4420000,113,7.6,584
The Godfather: Part II,13000000,17.904,1974-12-20,102600000,202,8.5,5463
Lenny,0,4.455,1974-11-10,0,111,7.4,73
The Towering Inferno,14000000,9.769,1974-12-14,116000000,159,7.1,366
Barry Lyndon,11000000,9.776,1975-11-26,20000000,185,7.9,1020
