city_id,city_name,longitude,latitude,orig_city_name,prov_from_name,name,type,province_name,population,private_dwellings,land_area_sqkm,pop_density_per_sqkm,province,apt_mthly_rent,property_price_sqft,ave_mthly_net_salary,quality_of_life_idx,cost_of_living_idx
33365,North Vancouver,-123.0724139,49.3199816,North Vancouver,,North Vancouver,City,British Columbia,52898.0,26426.0,11.85,4465.1,BC,3805.0,9592.895130234705,4750.0,,
33399,Cochrane,-114.46786029999998,51.1909883,Cochrane,,Cochrane,Town,Alberta,25853.0,10225.0,29.83,866.7,AB,2400.0,,2250.0,,
33600,Slave Lake,-114.7711184,55.2866833,Slave Lake,,Slave Lake,Town,Alberta,6651.0,2762.0,14.44,460.5,AB,2200.0,,4958.333333333334,,
33745,Tottenham,-79.80559459999998,44.0224843,"Tottenham, ON",ON,,,,,,,,ON,,,,,
33754,Boisbriand,-73.8383733,45.6126338,"Boisbriand, QC, Canada",QC,Boisbriand,Ville,Quebec,26884.0,10537.0,27.82,966.5,QC,,,3916.5,,
33771,Leamington,-82.5998874,42.053163399999995,Leamington,,Leamington,Municipality,Ontario,27595.0,10726.0,262.01,105.3,ON,,,2770.0,,
33831,Drummondville,-72.4842824,45.8802909,Drummondville,,Drummondville,Ville,Quebec,75423.0,35402.0,247.15,305.2,QC,,,2721.0,,
33836,Summerland,-119.67777777778,49.600555555556,Summerland,,Summerland,District municipality,British Columbia,11615.0,5240.0,74.08,156.8,BC,,,,,
33850,Armstrong,-119.1969938,50.44769829999999,Armstrong,,Armstrong,City,British Columbia,5114.0,2143.0,5.22,979.8,BC,,,,,
33863,Marathon,-86.38219559999999,48.716744,Marathon,,Marathon,Town,Ontario,3273.0,1643.0,170.54,19.2,ON,,,,,
33871,Wallaceburg,-82.38825290000003,42.5926445,Wallaceburg,,,,,,,,,ON,700.0,,1100.0,,
33982,Brockville,-75.68428580000001,44.5895244,"Brockville, Ont",ON,Brockville,City,Ontario,21346.0,10826.0,20.85,1023.6,ON,985.0,,,,
34041,Holland Landing,-79.48742299999998,44.09986079999999,Holland Landing,,,,,,,,,ON,2500.0,,,,
34045,Yarmouth,-66.11738199999999,43.8374576,Yarmouth,,Yarmouth,Town,Nova Scotia,6518.0,3470.0,10.57,616.9,NS,,,4600.0,,
