province,population,private_dwellings,land_area_sqkm,pop_density_per_sqkm,apt_mthly_rent,property_price_sqft,ave_mthly_net_salary,quality_of_life_idx,cost_of_living_idx
AB,4067175.0,1654129.0,640330.3699999994,6.351682179310039,1730.8735994397757,3444.5707856425292,4092.7250398724086,170.53838249294233,69.25132466246976
BC,4648055.0,2063417.0,922503.15,5.038524800701222,1956.2542759549513,4872.3882366487105,3242.8892124435906,180.94024188556466,66.21179016946986
MB,1278365.0,539748.0,552371.0400000002,2.3143229956443765,1366.3461538461538,2865.333075983612,2326.9416666666666,147.5402752098439,60.870704233311436
NB,747101.0,359721.0,71388.78999999998,10.465242512164728,1092.1491702741703,1338.3038918855614,2751.3760357142855,173.11376678450188,67.56132289187514
NL,519716.0,265739.0,370514.18000000005,1.4026885556714723,1560.5555555555554,3426.3910416709723,3239.559523809524,160.85164045794863,74.6793537970262
NS,923598.0,458568.0,52942.33000000004,17.445359884991827,1295.9738095238095,2119.426231908019,3228.6125,176.22932381815917,76.41987039504716
NT,41786.0,17666.0,1143793.8399999999,0.036532807345771336,1911.1111111111113,3733.6843229242013,4262.520833333333,,82.89072589124153
NU,35944.0,11433.0,1877778.53,0.019141767479895513,3600.0,10763.910416709721,2700.0,,
ON,13448494.0,5598391.0,908699.4000000001,14.79971704614309,1745.347522882297,4203.015516156707,3403.371818566618,175.669799861005,66.34908459265984
PE,142907.0,71119.0,5686.019999999997,25.133045610110425,1466.6666666666667,2345.293281253229,2548.0555555555557,192.70249724184487,65.34630352789618
QC,8164361.0,3858943.0,1356625.3500000006,6.018139790768318,1096.0286458333333,3337.901511571373,2880.573520256932,171.560877331467,60.48560160677579
SK,1098352.0,495582.0,588243.5599999992,1.867172162496775,1319.6916666666666,3480.755084966959,3943.6108405483405,152.95210534387002,65.85619567865193
YT,35874.0,17987.0,474712.68,0.07556992157866944,2000.0,4250.0,3528.8333333333335,,
