common_name,scientific_name,url,category,depth,distribution,images,size
Moorish Idol,Zanclus cornutus,https://reefguide.org/moorishidol.html,Large Oval Fish,10-300 ft. (3-90 m),"Indo-Pacific, Hawaii, Gulf of California, Pacific Coast of Mexico to Peru","['https://reefguide.org/pix/thumb2/moorishidol4.jpg', 'https://reefguide.org/pix/thumb2/moorishidol1.jpg', 'https://reefguide.org/pix/thumb2/moorishidol2.jpg', 'https://reefguide.org/pix/thumb2/moorishidol3.jpg', 'https://reefguide.org/pix/thumb2/moorishidol5.jpg', 'https://reefguide.org/pix/thumb2/moorishidol6.jpg', 'https://reefguide.org/pix/thumb2/moorishidol7.jpg', 'https://reefguide.org/pix/thumb2/moorishidol8.jpg', 'https://reefguide.org/pix/thumb2/moorishidol9.jpg']",5 to 8 in. (13 to 20 cm)
Longsnout Butterflyfish,Prognathodes aculeatus,https://reefguide.org/longsnoutbutter.html,Large Oval Fish,30-200 ft. (10-60 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/longsnoutbutter8.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter6.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter1.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter7.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter3.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter4.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter5.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter2.jpg']",2 to 3 in. (5 to 8 cm)
Orange-Banded Coralfish,Coradion chrysozonus,https://reefguide.org/coradionchrysozonus.html,Large Oval Fish,10-180 ft. (3-55 m),"Indo-West Pacific, Great Barrier Reef","['https://reefguide.org/pix/thumb2/coradionchrysozonus1.jpg', 'https://reefguide.org/pix/thumb2/coradionchrysozonus2.jpg']",Up to 6 in. (15 cm)
Two-Eyed Coralfish,Coradion melanopus,https://reefguide.org/coradionmelanopus.html,Large Oval Fish,30-100 ft. (10-30 m),Asian Pacific,['https://reefguide.org/pix/coradionmelanopus1.jpg'],Up to 6 in. (15 cm)
Humphead Bannerfish,Heniochus varius,https://reefguide.org/humpheadbannerfish.html,Large Oval Fish,6-100 ft. (2-30 m),"West Pacific, Indonesia, French Polynesia","['https://reefguide.org/pix/thumb2/humpheadbannerfish1.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish2.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish3.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish4.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish5.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish6.jpg']",5 to 8 in. (13 to 20 cm)
Pennant Bannerfish,Heniochus chrysostomus,https://reefguide.org/pennantbannerfish.html,Large Oval Fish,10-150 ft. (3-45 m),"Indo-Pacific, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/pennantbannerfish1.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish2.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish3.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish4.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish5.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish6.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish7.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish8.jpg']",5 to 7 in. (13 to 18 cm)
Masked Bannerfish,Heniochus monoceros,https://reefguide.org/maskedbannerfish.html,Large Oval Fish,6-80 ft. (2-25 m),"Indo-Pacific, Australia, French Polynesia","['https://reefguide.org/pix/thumb2/maskedbannerfish1.jpg', 'https://reefguide.org/pix/thumb2/maskedbannerfish2.jpg', 'https://reefguide.org/pix/thumb2/maskedbannerfish3.jpg']",Up to 9 in. (23 cm)
Singular Bannerfish,Heniochus singularius,https://reefguide.org/heniochussingularius.html,Large Oval Fish,6-350 ft. (2-107 m),Indo-West Pacific,['https://reefguide.org/pix/heniochussingularius1.jpg'],Up to 9 in. (23 cm)
Schooling Bannerfish,Heniochus diphreutes,https://reefguide.org/schoolingbannerfish.html,Large Oval Fish,15-60 ft. (5-18 m),"Indo-Pacific, Hawaii, Red Sea","['https://reefguide.org/pix/thumb2/schoolingbannerfish1.jpg', 'https://reefguide.org/pix/thumb2/schoolingbannerfish2.jpg']",5 to 8 in. (13 to 20 cm)
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/commonlongnosebutterflyfish.html,Large Oval Fish,15-180 ft. (5-55 m),"Indo-Pacific, Hawaii, Red Sea, Gulf of California, Pacific Coast of Mexico to Panama","['https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish9.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish4.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish5.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish6.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish7.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish8.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish10.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish11.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish12.jpg']",5 to 7 in. (13 to 18 cm)
