common_name,scientific_name,category
Acorn Barnacle,Semibalanus balanoides,Crustaceans
American Lobster,Homarus americanus,Crustaceans
Antarctic Krill,Euphausia superba,Crustaceans
Argentine Shortfin Squid,Illex argentinus,Cephalopods
Blue King Crab,Paralithodes platypus,Crustaceans
Chambered Nautilus,Nautilus pompilius,Cephalopods
Colorful Hermit Crab,Propagurus gaudichaudi,Crustaceans
Colossal Squid,Mesonychoteuthis hamiltoni,Cephalopods
Common Limpet,Patella vulgata,Gastropods
Dumbo Octopus,Grimpoteuthis spp.,Cephalopods
Geoduck,Panopea generosa,Bivalves and Chitons
Giant Pacific Octopus,Enteroctopus dofleini,Cephalopods
Humboldt Squid,Dosidicus gigas,Cephalopods
Red King Crab,Paralithodes camtschaticus,Crustaceans
Southern Blue-Ringed Octopus,Hapalochlaena maculosa,Cephalopods
Striped Pyjama Squid,Sepioloidea lineolata,Cephalopods
Tiger Prawn,Penaeus monodon,Crustaceans
Vampire Squid,Vampyroteuthis infernalis,Cephalopods
White Shrimp,Litopenaeus setiferus,Crustaceans
American Oyster,Crassostrea virginica,Bivalves and Chitons
Blue Glaucus,Glaucus atlanticus,Sea Slugs
Bluebottle,Physalia utriculus,Cnidarians
Chilean Basket Star,Gorgonocephalus chilensis,Echinoderms
Cockscomb Cup Coral,Desmophyllum dianthus,Coral
Eccentric Sand Dollar,Dendraster excentricus,Echinoderms
Felimare Cantabrica,Hypselodoris cantabrica,Sea Slugs
Flameback,Phidiana lottini,Sea Slugs
Giant Carpet Anemone,Stichodactyla gigantea,Coral
Giant Clam, Tridacna gigas,Bivalves and Chitons
Giant Kelp,Macrocystis pyrifera,Algae
Giant Pyrosome,Pyrosoma spinosum,Tunicates and Bryozoans
Ivory Bush Coral,Oculina varicosa,Coral
Lion's Mane Jellyfish,Cyanea capillata,Cnidarians
Lobe Coral,Porites lobata,Coral
Lophelia Coral,Lophelia pertusa,Coral
Portuguese Man o' War,Physalia physalis,Cnidarians
Sea Wasp,Chironex fleckeri,Cnidarians
Yellow Cup Black Coral,Antipathes galapagensis,Coral
Atlantic Bluefin Tuna,Thunnus thynnus,Silvery Fish
Atlantic Cod,Gadus morhua,Ocean Fishes
Atlantic Salmon,Salmo salar,Ocean Fishes
Atlantic Wolffish,Anarhichas lupus,Ocean Fishes
Beluga Sturgeon,Huso huso,Ocean Fishes
Blue Marlin,Makaira nigricans,Ocean Fishes
California Grunion,Leuresthes tenuis,Ocean Fishes
Chilean Common Hake,Merluccius gayi,Ocean Fishes
Chilean Jack Mackerel,Trachurus murphyi,Silvery Fish
Chinook Salmon,Oncorhynchus tshawytscha,Ocean Fishes
Coelacanth,Latimeria chalumnae,Ocean Fishes
Common Dolphinfish,Coryphaena hippurus,Ocean Fishes
Common Fangtooth,Anoplogaster cornuta,Ocean Fishes
Deep Sea Anglerfish,Melanocetus johnsonii,Ocean Fishes
Flashlight Fish,Photoblepharon palpebratum,Ocean Fishes
John Dory,Zeus faber,Ocean Fishes
Leafy Seadragon,Phycodurus eques,Seahorses and Pipefish
Mexican Lookdown,Selene brevoortii,Silvery Fish
Northern Red Snapper,Lutjanus campechanus,Grunts and Snappers
Oarfish,Regalecus glesne,Ocean Fishes
Ocean Sunfish,Mola mola,Ocean Fishes
Orange Roughy,Hoplostethus atlanticus,Ocean Fishes
Pacific Blackdragon,Idiacanthus antrostomus,Ocean Fishes
Pacific Halibut,Hippoglossus stenolepis,Odd Shaped Swimmers
Pacific Sardine,Sardinops sagax,Silvery Fish
Patagonian Toothfish,Dissostichus eleginoides,Ocean Fishes
Peruvian Anchoveta,Engraulis ringens,Ocean Fishes
Pink Salmon,Oncorhynchus gorbuscha,Ocean Fishes
Sailfish,Istiophorus platypterus,Ocean Fishes
Sarcastic Fringehead,Neoclinus blanchardi,"Crevice, Sand, and Burrow Dwellers"
Scarlet Frogfish,Antennarius coccineus,Bottom Dwellers
Scorpionfish,Scorpaenidae sp.,Bottom Dwellers
Skipjack Tuna,Katsuwonus pelamis,Silvery Fish
Slender Snipe Eel,Nemichthys scolopaceus,Eels
Smalltooth Sawfish,Pristis pectinata,Sharks and Rays
Spotted Ratfish,Hydrolagus colliei,Sharks and Rays
Stonefish,Synanceia verrucosa,Bottom Dwellers
Stoplight Loosejaw,Malacosteus niger,Ocean Fishes
Summer Flounder,Paralichthys dentatus,Odd Shaped Swimmers
Swordfish,Xiphias gladius,Ocean Fishes
Tan Bristlemouth,Cyclothone pallida,Ocean Fishes
Tropical Two-wing Flyingfish,Exocoetus volitans,Silvery Fish
Wahoo,Acanthocybium solandri,Silvery Fish
Whiptail Gulper,Saccopharynx lavenbergi,Ocean Fishes
White-ring Garden Eel,Heteroconger canabus,Eels
Yellowfin Tuna,Thunnus albacares,Silvery Fish
