category,common_name,countries,scientific_name
Large Oval Fish,Moorish Idol,Australia,Zanclus cornutus
Large Oval Fish,Moorish Idol,Costa Rica,Zanclus cornutus
Large Oval Fish,Moorish Idol,Chile,Zanclus cornutus
Large Oval Fish,Moorish Idol,China,Zanclus cornutus
Large Oval Fish,Moorish Idol,Colombia,Zanclus cornutus
Large Oval Fish,Moorish Idol,Ecuador,Zanclus cornutus
Large Oval Fish,Moorish Idol,Fiji,Zanclus cornutus
Large Oval Fish,Moorish Idol,France,Zanclus cornutus
Large Oval Fish,Moorish Idol,Guatemala,Zanclus cornutus
Large Oval Fish,Moorish Idol,Honduras,Zanclus cornutus
Large Oval Fish,Moorish Idol,Indonesia,Zanclus cornutus
Large Oval Fish,Moorish Idol,India,Zanclus cornutus
Large Oval Fish,Moorish Idol,Japan,Zanclus cornutus
Large Oval Fish,Moorish Idol,Kenya,Zanclus cornutus
Large Oval Fish,Moorish Idol,South Korea,Zanclus cornutus
Large Oval Fish,Moorish Idol,Sri Lanka,Zanclus cornutus
Large Oval Fish,Moorish Idol,Madagascar,Zanclus cornutus
Large Oval Fish,Moorish Idol,Myanmar,Zanclus cornutus
Large Oval Fish,Moorish Idol,Mexico,Zanclus cornutus
Large Oval Fish,Moorish Idol,Malaysia,Zanclus cornutus
Large Oval Fish,Moorish Idol,Mozambique,Zanclus cornutus
Large Oval Fish,Moorish Idol,New Caledonia,Zanclus cornutus
Large Oval Fish,Moorish Idol,United Kingdom,Zanclus cornutus
Large Oval Fish,Moorish Idol,Nicaragua,Zanclus cornutus
Large Oval Fish,Moorish Idol,New Zealand,Zanclus cornutus
Large Oval Fish,Moorish Idol,Oman,Zanclus cornutus
Large Oval Fish,Moorish Idol,Panama,Zanclus cornutus
Large Oval Fish,Moorish Idol,Peru,Zanclus cornutus
Large Oval Fish,Moorish Idol,Papua New Guinea,Zanclus cornutus
Large Oval Fish,Moorish Idol,Philippines,Zanclus cornutus
Large Oval Fish,Moorish Idol,Solomon Islands,Zanclus cornutus
Large Oval Fish,Moorish Idol,Somalia,Zanclus cornutus
Large Oval Fish,Moorish Idol,El Salvador,Zanclus cornutus
Large Oval Fish,Moorish Idol,Thailand,Zanclus cornutus
Large Oval Fish,Moorish Idol,United Republic of Tanzania,Zanclus cornutus
Large Oval Fish,Moorish Idol,United States of America,Zanclus cornutus
Large Oval Fish,Moorish Idol,Vietnam,Zanclus cornutus
Large Oval Fish,Moorish Idol,Vanuatu,Zanclus cornutus
Large Oval Fish,Moorish Idol,Yemen,Zanclus cornutus
Large Oval Fish,Moorish Idol,South Africa,Zanclus cornutus
Large Oval Fish,Longsnout Butterflyfish,Bermuda,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Belize,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Colombia,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Costa Rica,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Cuba,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Dominican Republic,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Guatemala,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Guyana,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Honduras,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Haiti,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Jamaica,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Mexico,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Nicaragua,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Panama,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Puerto Rico,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Trinidad and Tobago,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,United States of America,Prognathodes aculeatus
Large Oval Fish,Longsnout Butterflyfish,Venezuela,Prognathodes aculeatus
Large Oval Fish,Orange-Banded Coralfish,Australia,Coradion chrysozonus
Large Oval Fish,Orange-Banded Coralfish,China,Coradion chrysozonus
