IUCN_weblink,category,common_name,depth,distribution,family,genus,order,phylum,population_trend,scientific_name,url,status
https://www.iucnredlist.org/species/69741115/69742744,Large Oval Fish,Moorish Idol,10-300 ft. (3-90 m),"Indo-Pacific, Hawaii, Gulf of California, Pacific Coast of Mexico to Peru",ZANCLIDAE,Zanclus,PERCIFORMES,CHORDATA,Stable,Zanclus cornutus,https://reefguide.org/moorishidol.html,LC
https://www.iucnredlist.org/species/165627/6072151,Large Oval Fish,Longsnout Butterflyfish,30-200 ft. (10-60 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico",CHAETODONTIDAE,Prognathodes,PERCIFORMES,CHORDATA,Stable,Prognathodes aculeatus,https://reefguide.org/longsnoutbutter.html,LC
https://www.iucnredlist.org/species/165702/6096056,Large Oval Fish,Orange-Banded Coralfish,10-180 ft. (3-55 m),"Indo-West Pacific, Great Barrier Reef",CHAETODONTIDAE,Coradion,PERCIFORMES,CHORDATA,Stable,Coradion chrysozonus,https://reefguide.org/coradionchrysozonus.html,LC
https://www.iucnredlist.org/species/155193/4741682,Large Oval Fish,Two-Eyed Coralfish,30-100 ft. (10-30 m),Asian Pacific,CHAETODONTIDAE,Coradion,PERCIFORMES,CHORDATA,Stable,Coradion melanopus,https://reefguide.org/coradionmelanopus.html,LC
https://www.iucnredlist.org/species/165652/6081573,Large Oval Fish,Humphead Bannerfish,6-100 ft. (2-30 m),"West Pacific, Indonesia, French Polynesia",CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,Heniochus varius,https://reefguide.org/humpheadbannerfish.html,LC
https://www.iucnredlist.org/species/165640/6077819,Large Oval Fish,Pennant Bannerfish,10-150 ft. (3-45 m),"Indo-Pacific, Great Barrier Reef, French Polynesia",CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,Heniochus chrysostomus,https://reefguide.org/pennantbannerfish.html,LC
https://www.iucnredlist.org/species/165650/6080493,Large Oval Fish,Masked Bannerfish,6-80 ft. (2-25 m),"Indo-Pacific, Australia, French Polynesia",CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,Heniochus monoceros,https://reefguide.org/maskedbannerfish.html,LC
https://www.iucnredlist.org/species/165622/6070311,Large Oval Fish,Singular Bannerfish,6-350 ft. (2-107 m),Indo-West Pacific,CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,Heniochus singularius,https://reefguide.org/heniochussingularius.html,LC
https://www.iucnredlist.org/species/165683/6090332,Large Oval Fish,Schooling Bannerfish,15-60 ft. (5-18 m),"Indo-Pacific, Hawaii, Red Sea",CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,Heniochus diphreutes,https://reefguide.org/schoolingbannerfish.html,LC
https://www.iucnredlist.org/species/165716/6099950,Large Oval Fish,Longnose Butterflyfish,15-180 ft. (5-55 m),"Indo-Pacific, Hawaii, Red Sea, Gulf of California, Pacific Coast of Mexico to Panama",CHAETODONTIDAE,Forcipiger,PERCIFORMES,CHORDATA,Stable,Forcipiger flavissimus,https://reefguide.org/commonlongnosebutterflyfish.html,LC
