category,common_name,measures,scientific_name
Groupers and Seabasses,Red Hind,Species management,Epinephelus guttatus
Groupers and Seabasses,Red Hind,Site/area management,Epinephelus guttatus
Groupers and Seabasses,Red Hind,Site/area protection,Epinephelus guttatus
Groupers and Seabasses,Red Hind,Harvest management,Epinephelus guttatus
Groupers and Seabasses,Brown-Marbled Grouper,Species management,Epinephelus fuscoguttatus
Groupers and Seabasses,Brown-Marbled Grouper,Site/area management,Epinephelus fuscoguttatus
Groupers and Seabasses,Brown-Marbled Grouper,Site/area protection,Epinephelus fuscoguttatus
Groupers and Seabasses,Brown-Marbled Grouper,Harvest management,Epinephelus fuscoguttatus
Groupers and Seabasses,Camouflage Grouper,Site/area protection,Epinephelus polyphekadion
Groupers and Seabasses,Camouflage Grouper,Harvest management,Epinephelus polyphekadion
Groupers and Seabasses,Camouflage Grouper,National level,Epinephelus polyphekadion
Groupers and Seabasses,Camouflage Grouper,Sub-national level,Epinephelus polyphekadion
Groupers and Seabasses,Camouflage Grouper,Trade management,Epinephelus polyphekadion
Groupers and Seabasses,Camouflage Grouper,Compliance and enforcement,Epinephelus polyphekadion
Groupers and Seabasses,Camouflage Grouper,Species management,Epinephelus polyphekadion
Groupers and Seabasses,Camouflage Grouper,Site/area management,Epinephelus polyphekadion
Groupers and Seabasses,Blacktip Grouper,Site/area management,Epinephelus fasciatus
Groupers and Seabasses,Blacktip Grouper,Site/area protection,Epinephelus fasciatus
Groupers and Seabasses,Specklefin Grouper,Species management,Epinephelus ongus
Groupers and Seabasses,Specklefin Grouper,Site/area protection,Epinephelus ongus
Groupers and Seabasses,Specklefin Grouper,Harvest management,Epinephelus ongus
Groupers and Seabasses,Black Grouper,Species management,Mycteroperca bonaci
Groupers and Seabasses,Black Grouper,Site/area protection,Mycteroperca bonaci
Groupers and Seabasses,Black Grouper,Harvest management,Mycteroperca bonaci
Groupers and Seabasses,Tiger Grouper,Site/area protection,Mycteroperca tigris
Groupers and Seabasses,Tiger Grouper,Harvest management,Mycteroperca tigris
Groupers and Seabasses,Tiger Grouper,Trade management,Mycteroperca tigris
Groupers and Seabasses,Tiger Grouper,Species management,Mycteroperca tigris
Groupers and Seabasses,Tiger Grouper,Site/area management,Mycteroperca tigris
Groupers and Seabasses,Yellowmouth Grouper,Species management,Mycteroperca interstitialis
Groupers and Seabasses,Yellowmouth Grouper,Harvest management,Mycteroperca interstitialis
Groupers and Seabasses,Yellowfin Grouper,Species management,Mycteroperca venenosa
Groupers and Seabasses,Yellowfin Grouper,Site/area management,Mycteroperca venenosa
Groupers and Seabasses,Yellowfin Grouper,Site/area protection,Mycteroperca venenosa
Groupers and Seabasses,Yellowfin Grouper,Harvest management,Mycteroperca venenosa
Groupers and Seabasses,Coney,Species management,Cephalopholis fulva
Groupers and Seabasses,Coney,Harvest management,Cephalopholis fulva
Groupers and Seabasses,Peacock Grouper,Species management,Cephalopholis argus
Groupers and Seabasses,Peacock Grouper,Harvest management,Cephalopholis argus
Groupers and Seabasses,Bluespotted Grouper,Site/area management,Cephalopholis cyanostigma
Groupers and Seabasses,Bluespotted Grouper,Site/area protection,Cephalopholis cyanostigma
Groupers and Seabasses,Tomato Grouper,Site/area protection,Cephalopholis sonnerati
Groupers and Seabasses,Tomato Grouper,Harvest management,Cephalopholis sonnerati
Groupers and Seabasses,Tomato Grouper,Trade management,Cephalopholis sonnerati
Groupers and Seabasses,Tomato Grouper,Species management,Cephalopholis sonnerati
Groupers and Seabasses,Tomato Grouper,Site/area management,Cephalopholis sonnerati
Groupers and Seabasses,Coral Grouper,Species management,Cephalopholis miniata
Groupers and Seabasses,Coral Grouper,Site/area protection,Cephalopholis miniata
Groupers and Seabasses,Coral Grouper,Harvest management,Cephalopholis miniata
Groupers and Seabasses,Six-Banded Grouper,Species management,Cephalopholis sexmaculata
Groupers and Seabasses,Six-Banded Grouper,Site/area management,Cephalopholis sexmaculata
Groupers and Seabasses,Six-Banded Grouper,Site/area protection,Cephalopholis sexmaculata
Groupers and Seabasses,Six-Banded Grouper,Harvest management,Cephalopholis sexmaculata
Groupers and Seabasses,Baramundi,Site/area protection,Cromileptes altivelis
Groupers and Seabasses,Baramundi,Harvest management,Cromileptes altivelis
Groupers and Seabasses,Baramundi,National level,Cromileptes altivelis
Groupers and Seabasses,Baramundi,International level,Cromileptes altivelis
Groupers and Seabasses,Baramundi,Trade management,Cromileptes altivelis
