category,common_name,scientific_name,threats
Large Oval Fish,Longsnout Butterflyfish,Prognathodes aculeatus,Habitat shifting & alteration
Large Oval Fish,Longsnout Butterflyfish,Prognathodes aculeatus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Longsnout Butterflyfish,Prognathodes aculeatus,Fishing & harvesting aquatic resources
Large Oval Fish,Orange-Banded Coralfish,Coradion chrysozonus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Orange-Banded Coralfish,Coradion chrysozonus,Fishing & harvesting aquatic resources
Large Oval Fish,Two-Eyed Coralfish,Coradion melanopus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Two-Eyed Coralfish,Coradion melanopus,Fishing & harvesting aquatic resources
Large Oval Fish,Humphead Bannerfish,Heniochus varius,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Humphead Bannerfish,Heniochus varius,Fishing & harvesting aquatic resources
Large Oval Fish,Pennant Bannerfish,Heniochus chrysostomus,Habitat shifting & alteration
Large Oval Fish,Pennant Bannerfish,Heniochus chrysostomus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Pennant Bannerfish,Heniochus chrysostomus,Fishing & harvesting aquatic resources
Large Oval Fish,Masked Bannerfish,Heniochus monoceros,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Masked Bannerfish,Heniochus monoceros,Fishing & harvesting aquatic resources
Large Oval Fish,Singular Bannerfish,Heniochus singularius,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Singular Bannerfish,Heniochus singularius,Fishing & harvesting aquatic resources
Large Oval Fish,Schooling Bannerfish,Heniochus diphreutes,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Schooling Bannerfish,Heniochus diphreutes,Fishing & harvesting aquatic resources
Large Oval Fish,Longnose Butterflyfish,Forcipiger flavissimus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Longnose Butterflyfish,Forcipiger flavissimus,Fishing & harvesting aquatic resources
Large Oval Fish,Big Longnose Butterflyfish,Forcipiger longirostris,Habitat shifting & alteration
Large Oval Fish,Big Longnose Butterflyfish,Forcipiger longirostris,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Big Longnose Butterflyfish,Forcipiger longirostris,Fishing & harvesting aquatic resources
Large Oval Fish,Foureye Butterflyfish,Chaetodon capistratus,Habitat shifting & alteration
Large Oval Fish,Foureye Butterflyfish,Chaetodon capistratus,Intentional use: (large scale) [harvest]
Large Oval Fish,Foureye Butterflyfish,Chaetodon capistratus,Fishing & harvesting aquatic resources
Large Oval Fish,Spotfin Butterflyfish,Chaetodon ocellatus,Unintentional effects: (subsistence/small scale) [harvest]
Large Oval Fish,Spotfin Butterflyfish,Chaetodon ocellatus,Fishing & harvesting aquatic resources
Large Oval Fish,Vagabond Butterflyfish,Chaetodon vagabundus,Habitat shifting & alteration
Large Oval Fish,Vagabond Butterflyfish,Chaetodon vagabundus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Vagabond Butterflyfish,Chaetodon vagabundus,Fishing & harvesting aquatic resources
Large Oval Fish,Atoll Butterflyfish,Chaetodon mertensii,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Atoll Butterflyfish,Chaetodon mertensii,Fishing & harvesting aquatic resources
Large Oval Fish,Crosshatch Butterflyfish,Chaetodon xanthurus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Crosshatch Butterflyfish,Chaetodon xanthurus,Fishing & harvesting aquatic resources
Large Oval Fish,Chevroned Butterflyfish,Chaetodon trifascialis,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Chevroned Butterflyfish,Chaetodon trifascialis,Fishing & harvesting aquatic resources
Large Oval Fish,Chevroned Butterflyfish,Chaetodon trifascialis,Temperature extremes
Large Oval Fish,Saddled Butterflyfish,Chaetodon ephippium,Intentional use: (large scale) [harvest]
Large Oval Fish,Saddled Butterflyfish,Chaetodon ephippium,Fishing & harvesting aquatic resources
Large Oval Fish,Ornate Butterflyfish,Chaetodon ornatissimus,Habitat shifting & alteration
Large Oval Fish,Ornate Butterflyfish,Chaetodon ornatissimus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Ornate Butterflyfish,Chaetodon ornatissimus,Fishing & harvesting aquatic resources
Large Oval Fish,Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,Habitat shifting & alteration
Large Oval Fish,Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,Fishing & harvesting aquatic resources
Large Oval Fish,Eastern Triangular Butterflyfish,Chaetodon baronessa,Habitat shifting & alteration
Large Oval Fish,Eastern Triangular Butterflyfish,Chaetodon baronessa,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Eastern Triangular Butterflyfish,Chaetodon baronessa,Fishing & harvesting aquatic resources
Large Oval Fish,Redfin Butterflyfish,Chaetodon lunulatus,Habitat shifting & alteration
Large Oval Fish,Fourspot Butterflyfish,Chaetodon quadrimaculatus,Habitat shifting & alteration
Large Oval Fish,Fourspot Butterflyfish,Chaetodon quadrimaculatus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Fourspot Butterflyfish,Chaetodon quadrimaculatus,Fishing & harvesting aquatic resources
Large Oval Fish,Speckled Butterflyfish,Chaetodon citrinellus,Habitat shifting & alteration
Large Oval Fish,Speckled Butterflyfish,Chaetodon citrinellus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Speckled Butterflyfish,Chaetodon citrinellus,Fishing & harvesting aquatic resources
Large Oval Fish,Meyer's Butterflyfish,Chaetodon meyeri,Habitat shifting & alteration
Large Oval Fish,Meyer's Butterflyfish,Chaetodon meyeri,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Meyer's Butterflyfish,Chaetodon meyeri,Fishing & harvesting aquatic resources
Large Oval Fish,Dot-Dash Butterflyfish,Chaetodon pelewensis,Habitat shifting & alteration
Large Oval Fish,Dot-Dash Butterflyfish,Chaetodon pelewensis,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Dot-Dash Butterflyfish,Chaetodon pelewensis,Fishing & harvesting aquatic resources
Large Oval Fish,Multiband Butterflyfish,Chaetodon multicinctus,Habitat shifting & alteration
Large Oval Fish,Multiband Butterflyfish,Chaetodon multicinctus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Multiband Butterflyfish,Chaetodon multicinctus,Fishing & harvesting aquatic resources
Large Oval Fish,Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,Habitat shifting & alteration
Large Oval Fish,Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,Fishing & harvesting aquatic resources
Large Oval Fish,Panda Butterflyfish,Chaetodon adiergastos,Habitat shifting & alteration
Large Oval Fish,Panda Butterflyfish,Chaetodon adiergastos,Unintentional effects: (subsistence/small scale) [harvest]
