common_name,scientific_name,year,status
Moorish Idol,Zanclus cornutus,2016,Least Concern
Longsnout Butterflyfish,Prognathodes aculeatus,2010,Least Concern
Orange-Banded Coralfish,Coradion chrysozonus,2010,Least Concern
Two-Eyed Coralfish,Coradion melanopus,2010,Least Concern
Humphead Bannerfish,Heniochus varius,2010,Least Concern
Pennant Bannerfish,Heniochus chrysostomus,2010,Least Concern
Masked Bannerfish,Heniochus monoceros,2010,Least Concern
Singular Bannerfish,Heniochus singularius,2010,Least Concern
Schooling Bannerfish,Heniochus diphreutes,2010,Least Concern
Longnose Butterflyfish,Forcipiger flavissimus,2010,Least Concern
Big Longnose Butterflyfish,Forcipiger longirostris,2010,Least Concern
Foureye Butterflyfish,Chaetodon capistratus,2010,Least Concern
Spotfin Butterflyfish,Chaetodon ocellatus,2010,Least Concern
Reef Butterflyfish,Chaetodon sedentarius,2010,Least Concern
Vagabond Butterflyfish,Chaetodon vagabundus,2010,Least Concern
Atoll Butterflyfish,Chaetodon mertensii,2010,Least Concern
Crosshatch Butterflyfish,Chaetodon xanthurus,2010,Least Concern
Chevroned Butterflyfish,Chaetodon trifascialis,2010,Near Threatened
Saddled Butterflyfish,Chaetodon ephippium,2010,Least Concern
Ornate Butterflyfish,Chaetodon ornatissimus,2010,Least Concern
Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,2010,Least Concern
Eastern Triangular Butterflyfish,Chaetodon baronessa,2010,Least Concern
Redfin Butterflyfish,Chaetodon lunulatus,2010,Least Concern
Fourspot Butterflyfish,Chaetodon quadrimaculatus,2010,Least Concern
Speckled Butterflyfish,Chaetodon citrinellus,2010,Least Concern
Meyer's Butterflyfish,Chaetodon meyeri,2010,Least Concern
Dot-Dash Butterflyfish,Chaetodon pelewensis,2010,Least Concern
Multiband Butterflyfish,Chaetodon multicinctus,2010,Least Concern
Milletseed Butterflyfish,Chaetodon miliaris,2010,Least Concern
Raccoon Butterflyfish,Chaetodon lunula,2010,Least Concern
Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,2010,Least Concern
Panda Butterflyfish,Chaetodon adiergastos,2010,Least Concern
Black-Backed Butterflyfish,Chaetodon melannotus,2010,Least Concern
Blue-Spot Butterflyfish,Chaetodon plebeius,2010,Least Concern
Dotted butterflyfish,Chaetodon semeion,2010,Least Concern
Eclipse Butterflyfish,Chaetodon bennetti,2010,Data Deficient
Ovalspot Butterflyfish,Chaetodon speculum,2010,Least Concern
Teardrop Butterflyfish,Chaetodon unimaculatus,2010,Least Concern
Spot-Nape Butterflyfish,Chaetodon oxycephalus,2010,Least Concern
Latticed Butterflyfish,Chaetodon rafflesii,2010,Least Concern
Eight-Banded Butterflyfish,Chaetodon octofasciatus,2010,Least Concern
Blacklip Butterflyfish,Chaetodon kleinii,2010,Least Concern
Reticulated Butterflyfish,Chaetodon reticulatus,2010,Data Deficient
Threadfin Butterflyfish,Chaetodon auriga,2010,Least Concern
Bluestripe Butterflyfish,Chaetodon fremblii,2010,Least Concern
Threebanded Butterflyfish,Chaetodon humeralis,2010,Least Concern
Pyramid Butterflyfish,Hemitaurichthys polylepis,2010,Least Concern
Blacknosed Butterflyfish,Johnrandallia nigrirostris,2010,Least Concern
Longfin Damselfish,Stegastes diencaeus,2015,Least Concern
Dusky Damselfish,Stegastes adustus,2015,Least Concern
Cocoa Damselfish,Stegastes xanthurus,2015,Least Concern
Beaugregory,Stegastes leucostictus,2015,Least Concern
Bicolor Damselfish,Stegastes partitus,2015,Least Concern
Cortez Damselfish,Stegastes rectifraenum,2010,Least Concern
Beaubrummel,Stegastes flavilatus,2010,Least Concern
Yellowtail Damselfish,Microspathodon chrysurus,2015,Least Concern
Giant Damselfish,Microspathodon dorsalis,2010,Least Concern
Golden Damselfish,Amblyglyphidodon aureus,2017,Least Concern
Staghorn Damselfish,Amblyglyphidodon curacao,2017,Least Concern
White-Belly Damselfish,Amblyglyphidodon leucogaster,2017,Least Concern
Black-Banded Damselfish,Amblypomacentrus breviceps,2017,Least Concern
Sergeant Major,Abudefduf saxatilis,2015,Least Concern
Hawaiian Sergeant,Abudefduf abdominalis,2017,Least Concern
Indo-Pacific Sergeant,Abudefduf vaigiensis,2017,Least Concern
Panamic Sergeant Major,Abudefduf troschelii,2010,Least Concern
Scissortail Sergeant,Abudefduf sexfasciatus,2017,Least Concern
Night Sergeant,Abudefduf taurus,2015,Least Concern
Blackspot Sergeant,Abudefduf sordidus,2017,Least Concern
Blue Chromis,Chromis cyanea,2010,Least Concern
Brown Chromis,Chromis multilineata,2015,Least Concern
Darkfin Chromis,Chromis atripes,2017,Least Concern
Oval Chromis,Chromis alta,2010,Least Concern
Ambon chromis,Chromis amboinensis,2017,Least Concern
Blue-Axil Chromis,Chromis caudalis,2017,Least Concern
Sunshinefish,Chromis insolata,2015,Least Concern
Blue-and-Yellow Chromis,Chromis limbaughi,2010,Least Concern
Scissortail Chromis,Chromis atrilobata,2010,Least Concern
Spiny Chromis,Acanthochromis polyacanthus,2017,Least Concern
