IUCN_weblink,depth,distribution,family,genus,order,phylum,population_trend,url,status,species_id,category_id,detail_id
https://www.iucnredlist.org/species/69741115/69742744,10-300 ft. (3-90 m),"Indo-Pacific, Hawaii, Gulf of California, Pacific Coast of Mexico to Peru",ZANCLIDAE,Zanclus,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/moorishidol.html,Least Concern,1,1,1
https://www.iucnredlist.org/species/165627/6072151,30-200 ft. (10-60 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico",CHAETODONTIDAE,Prognathodes,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/longsnoutbutter.html,Least Concern,2,1,2
https://www.iucnredlist.org/species/165702/6096056,10-180 ft. (3-55 m),"Indo-West Pacific, Great Barrier Reef",CHAETODONTIDAE,Coradion,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/coradionchrysozonus.html,Least Concern,3,1,3
https://www.iucnredlist.org/species/155193/4741682,30-100 ft. (10-30 m),Asian Pacific,CHAETODONTIDAE,Coradion,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/coradionmelanopus.html,Least Concern,4,1,4
https://www.iucnredlist.org/species/165652/6081573,6-100 ft. (2-30 m),"West Pacific, Indonesia, French Polynesia",CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/humpheadbannerfish.html,Least Concern,5,1,5
https://www.iucnredlist.org/species/165640/6077819,10-150 ft. (3-45 m),"Indo-Pacific, Great Barrier Reef, French Polynesia",CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/pennantbannerfish.html,Least Concern,6,1,6
https://www.iucnredlist.org/species/165650/6080493,6-80 ft. (2-25 m),"Indo-Pacific, Australia, French Polynesia",CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/maskedbannerfish.html,Least Concern,7,1,7
https://www.iucnredlist.org/species/165622/6070311,6-350 ft. (2-107 m),Indo-West Pacific,CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/heniochussingularius.html,Least Concern,8,1,8
https://www.iucnredlist.org/species/165683/6090332,15-60 ft. (5-18 m),"Indo-Pacific, Hawaii, Red Sea",CHAETODONTIDAE,Heniochus,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/schoolingbannerfish.html,Least Concern,9,1,9
https://www.iucnredlist.org/species/165716/6099950,15-180 ft. (5-55 m),"Indo-Pacific, Hawaii, Red Sea, Gulf of California, Pacific Coast of Mexico to Panama",CHAETODONTIDAE,Forcipiger,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/commonlongnosebutterflyfish.html,Least Concern,10,1,10
https://www.iucnredlist.org/species/165667/6085300,15-180 ft. (5-55 m),"Indo-Pacific, Hawaii",CHAETODONTIDAE,Forcipiger,PERCIFORMES,CHORDATA,Unknown,https://reefguide.org/biglongnosebutterflyfish.html,Least Concern,11,1,11
https://www.iucnredlist.org/species/165695/6094300,10-60 ft. (3-18 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico",CHAETODONTIDAE,Chaetodon,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/foureyebutterflyfish.html,Least Concern,12,1,12
https://www.iucnredlist.org/species/165611/6067709,10-60 ft. (3-18 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico",CHAETODONTIDAE,Chaetodon,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/spotfinbutter.html,Least Concern,13,1,13
https://www.iucnredlist.org/species/155220/4749409,20-120 ft. (6-37 m),"Florida, Bahamas, Eastern Caribbean, Bermuda, Gulf of Mexico",CHAETODONTIDAE,Chaetodon,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/reefbutterflyfish.html,Least Concern,14,1,14
https://www.iucnredlist.org/species/165630/6073181,5-100 ft. (2-30 m),"Indo-Pacific, Great Barrier Reef, French Polynesia",CHAETODONTIDAE,Chaetodon,PERCIFORMES,CHORDATA,Stable,https://reefguide.org/vagabondbutterflyfish.html,Least Concern,15,1,15
