common_name,scientific_name,species_id,category_id
Moorish Idol,Zanclus cornutus,1,1
Longsnout Butterflyfish,Prognathodes aculeatus,2,1
Orange-Banded Coralfish,Coradion chrysozonus,3,1
Two-Eyed Coralfish,Coradion melanopus,4,1
Humphead Bannerfish,Heniochus varius,5,1
Pennant Bannerfish,Heniochus chrysostomus,6,1
Masked Bannerfish,Heniochus monoceros,7,1
Singular Bannerfish,Heniochus singularius,8,1
Schooling Bannerfish,Heniochus diphreutes,9,1
Longnose Butterflyfish,Forcipiger flavissimus,10,1
Big Longnose Butterflyfish,Forcipiger longirostris,11,1
Foureye Butterflyfish,Chaetodon capistratus,12,1
Spotfin Butterflyfish,Chaetodon ocellatus,13,1
Reef Butterflyfish,Chaetodon sedentarius,14,1
Vagabond Butterflyfish,Chaetodon vagabundus,15,1
Atoll Butterflyfish,Chaetodon mertensii,16,1
Crosshatch Butterflyfish,Chaetodon xanthurus,17,1
Chevroned Butterflyfish,Chaetodon trifascialis,18,1
Saddled Butterflyfish,Chaetodon ephippium,19,1
Ornate Butterflyfish,Chaetodon ornatissimus,20,1
Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,21,1
Eastern Triangular Butterflyfish,Chaetodon baronessa,22,1
Redfin Butterflyfish,Chaetodon lunulatus,23,1
Fourspot Butterflyfish,Chaetodon quadrimaculatus,24,1
Speckled Butterflyfish,Chaetodon citrinellus,25,1
Meyers Butterflyfish,Chaetodon meyeri,26,1
Dot-Dash Butterflyfish,Chaetodon pelewensis,27,1
Multiband Butterflyfish,Chaetodon multicinctus,28,1
Milletseed Butterflyfish,Chaetodon miliaris,29,1
Raccoon Butterflyfish,Chaetodon lunula,30,1
Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,31,1
Panda Butterflyfish,Chaetodon adiergastos,32,1
Black-Backed Butterflyfish,Chaetodon melannotus,33,1
Blue-Spot Butterflyfish,Chaetodon plebeius,34,1
Dotted butterflyfish,Chaetodon semeion,35,1
Eclipse Butterflyfish,Chaetodon bennetti,36,1
Ovalspot Butterflyfish,Chaetodon speculum,37,1
Teardrop Butterflyfish,Chaetodon unimaculatus,38,1
Spot-Nape Butterflyfish,Chaetodon oxycephalus,39,1
Latticed Butterflyfish,Chaetodon rafflesii,40,1
Eight-Banded Butterflyfish,Chaetodon octofasciatus,41,1
Blacklip Butterflyfish,Chaetodon kleinii,42,1
Reticulated Butterflyfish,Chaetodon reticulatus,43,1
Threadfin Butterflyfish,Chaetodon auriga,44,1
Bluestripe Butterflyfish,Chaetodon fremblii,45,1
Threebanded Butterflyfish,Chaetodon humeralis,46,1
Pyramid Butterflyfish,Hemitaurichthys polylepis,47,1
Blacknosed Butterflyfish,Johnrandallia nigrirostris,48,1
