threats,species_id,category_id,threat_id
Habitat shifting & alteration,2,1,1
Intentional use: (subsistence/small scale) [harvest],2,1,2
Fishing & harvesting aquatic resources,2,1,3
Intentional use: (subsistence/small scale) [harvest],3,1,4
Fishing & harvesting aquatic resources,3,1,5
Intentional use: (subsistence/small scale) [harvest],4,1,6
Fishing & harvesting aquatic resources,4,1,7
Intentional use: (subsistence/small scale) [harvest],5,1,8
Fishing & harvesting aquatic resources,5,1,9
Habitat shifting & alteration,6,1,10
Intentional use: (subsistence/small scale) [harvest],6,1,11
Fishing & harvesting aquatic resources,6,1,12
Intentional use: (subsistence/small scale) [harvest],7,1,13
Fishing & harvesting aquatic resources,7,1,14
Intentional use: (subsistence/small scale) [harvest],8,1,15
Fishing & harvesting aquatic resources,8,1,16
Intentional use: (subsistence/small scale) [harvest],9,1,17
Fishing & harvesting aquatic resources,9,1,18
Intentional use: (subsistence/small scale) [harvest],10,1,19
Fishing & harvesting aquatic resources,10,1,20
Habitat shifting & alteration,11,1,21
Intentional use: (subsistence/small scale) [harvest],11,1,22
Fishing & harvesting aquatic resources,11,1,23
Habitat shifting & alteration,12,1,24
Intentional use: (large scale) [harvest],12,1,25
Fishing & harvesting aquatic resources,12,1,26
Unintentional effects: (subsistence/small scale) [harvest],13,1,27
Fishing & harvesting aquatic resources,13,1,28
Habitat shifting & alteration,15,1,29
Intentional use: (subsistence/small scale) [harvest],15,1,30
Fishing & harvesting aquatic resources,15,1,31
Intentional use: (subsistence/small scale) [harvest],16,1,32
Fishing & harvesting aquatic resources,16,1,33
Intentional use: (subsistence/small scale) [harvest],17,1,34
Fishing & harvesting aquatic resources,17,1,35
Intentional use: (subsistence/small scale) [harvest],18,1,36
Fishing & harvesting aquatic resources,18,1,37
Temperature extremes,18,1,38
Intentional use: (large scale) [harvest],19,1,39
Fishing & harvesting aquatic resources,19,1,40
Habitat shifting & alteration,20,1,41
Intentional use: (subsistence/small scale) [harvest],20,1,42
Fishing & harvesting aquatic resources,20,1,43
Habitat shifting & alteration,21,1,44
Intentional use: (subsistence/small scale) [harvest],21,1,45
Fishing & harvesting aquatic resources,21,1,46
Habitat shifting & alteration,22,1,47
Intentional use: (subsistence/small scale) [harvest],22,1,48
Fishing & harvesting aquatic resources,22,1,49
Habitat shifting & alteration,23,1,50
Habitat shifting & alteration,24,1,51
Intentional use: (subsistence/small scale) [harvest],24,1,52
Fishing & harvesting aquatic resources,24,1,53
Habitat shifting & alteration,25,1,54
Intentional use: (subsistence/small scale) [harvest],25,1,55
Fishing & harvesting aquatic resources,25,1,56
Habitat shifting & alteration,26,1,57
